"nhom","cau_thieu_audio","locale","xac_nhan_tren_dien_thoai","duong_phat_TTS","nguon"
"Học lại Chủ đề đã hoàn thành","Chủ đề 9 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 9?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu.","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn chọn một trong các lựa chọn trên màn hình nhé.","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn chưa có Ngôi sao nào. Bạn muốn học phần Ba mẹ đã thêm hay Luyện lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn còn một Chủ đề chưa học. Bạn muốn học tiếp hay học lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn đã hoàn thành khóa học rồi. Bạn muốn học lại Level số mấy?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn đã nghe hết Ngôi sao rồi. Bạn muốn học nội dung khác hay học lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn đã nghe hết rồi. Bạn muốn học nội dung khác hay học lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn bắt đầu Level 2 hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn bắt đầu Level 3 hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 1?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 10?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 2?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 3?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 4?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 5?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 6?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 7?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 8?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 9?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn dịch sang tiếng Anh hay học bộ từ vựng?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học Bài 2 hay học lại Bài 1?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học Bài 3 hay học lại Bài 2?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học Ngôi sao hay Luyện lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học nội dung khác hay học lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học nội dung khác hay học tiếp?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học phần Ba mẹ đã thêm hay Luyện lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học phần Ba mẹ đã thêm hay Ngôi sao?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn học phần Ba mẹ đã thêm, Ngôi sao hay Luyện lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn nghe lại, học câu tiếp theo, học câu trước hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn nghe lại, học câu tiếp theo, học câu trước, hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn nghe lại, nghe câu trước hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn nghe lại, nghe câu trước, câu tiếp theo hay dừng lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Bạn muốn tiếp tục dịch, học Chủ đề hay Bộ từ vựng?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 1 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 1?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 10 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 10?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 2 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 2?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 3 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 3?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 4 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 4?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 5 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 5?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 6 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 6?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 7 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 7?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 8 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 8?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Học lại Chủ đề đã hoàn thành","Mình chưa hiểu. Chủ đề 9 bạn đã học xong rồi. Bạn muốn chọn Chủ đề khác hay học lại Chủ đề 9?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Chưa có nội dung ở phần này. Bạn muốn học Ngôi sao hay Luyện lại?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Chọn Level / Chủ đề","Mình chưa hiểu. Có 3 Chủ đề. Bạn chọn Chủ đề số mấy?","vi-VN","Có","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Chọn Level / Chủ đề","Mình chưa hiểu. Có 4 Chủ đề. Bạn chọn Chủ đề số mấy?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. HOMI đây. Bạn muốn dịch tiếng Anh, học Chủ đề hay Bộ từ vựng?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Không có nội dung cần luyện lại. Bạn muốn học phần Ba mẹ đã thêm hay Ngôi sao?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Không hiểu lệnh / menu / hoàn thành","Mình chưa hiểu. Mình đã luyện xong rồi. Bạn muốn học phần Ba mẹ đã thêm hay Ngôi sao?","vi-VN","Chưa","normal;selected;phone","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
